Suggested replacement,Units,Beijer1,Beijer 2,Beijer 3,Beijer 4,,,,,,,,,,
Line,,Id,Id,Id,Id,,,,,,,,,,
Time,,Time,Time,Time,Time,,,,,,,,,,
Mode1,,MODE,,,,,,,,,,,,,
Latitude,28° 37' S,LA__Input_from_vessels_GPS,LA,LA,LA,,,,,,,,,,
Longitude,42° 50' E,LO__Input_from_vessels_GPS,LO,LO,LO,,,,,,,,,,
ME Load,MW,ME_loard__MW,ME_loard,ME_load,ME_loard,,,,,,,,,,
AE1 Load,kW,AE1_loard__KW,AE1_loard,AE1_load,AE1_loard,,,,,,,,,,
AE2 Load,kW,AE2_loard__KW,AE2_loard,AE2_load,AE2_loard,,,,,,,,,,
AE3 Load,kW,AE3_loard__KW,AE3_loard,AE3_load,AE3_loard,,,,,,,,,,
Total Load,MW,ME_AE1_AE2_AE3_loard__MW,ME_AE1_AE2_AE3_loard__MW,,,,,,,,,,,,
P101 rpm,rpm,P101_speed__Scrubber_SW_Pump_no1,P101_speed,P101_speed,P101_speed,,,,,,,,,,
P102 rpm,rpm,P102_speed__Scrubber_SW_Pump_no2,P102_speed,P102_speed,P102_speed,,,,,,,,,,
P103 rpm,rpm,P103_speed__Scrubber_SW_Pump_no3,,,,,,,,,,,,,
FT201,m3/h,FT201__Upper_AND_Lower_Heads,FT201,FT201,FT201,,,,,,,,,,
FT202,m3/h,FT202__ME_GQC,FT202,FT202,FT202,,,,,,,,,,
FT203,m3/h,FT203__AE_GQC,FT203,FT203,FT203,,,,,,,,,,
Total Flow,m3/h,FT201_FT202_FT203_ALL_FLOW__Total_Flow,,,,,,,,,,,,,
PT101,MPa,PT101__Scrubber_SW_pump_pressure,PT101,PT101,PT101,,,,,,,,,,
PT201,MPa,PT201__SW_inlet_to_ME_GQC,PT201,PT201,PT201,,,,,,,,,,
PT202,MPa,PT202__SW_inlet_to_AE_GQC,PT202,PT202,PT202,,,,,,,,,,
PT203,MPa,PT203__FW_SW_to_demister,PT203,PT203,PT203,,,,,,,,,,
PT204,MPa,PT204__Heads,PT204,PT204,PT204,,,,,,,,,,
PT205,kPa,PT205__Exh_Gas_Inlet_to_ME_GQC,PT205,PT205,PT205,,,,,,,,,,
PT206,kPa,PT206__Exh_gas_Inlet_to_AE_GQC,PT206,PT206,PT206,,,,,,,,,,
PT207,kPa,PT207__Exh_Gas_at_Plenum,PT207,PT207,PT207,,,,,,,,,,
PT208,kPa,PT208__Exh_gas_over_lower_head,PT208,PT208,PT208,,,,,,,,,,
PT209,kPa,PT209__Exh_Gas_over_upper_head,PT209,PT209,PT209,,,,,,,,,,
PT210,kPa,PT210__Sealing_air_to_dampers,PT210,PT210,PT210,,,,,,,,,,
PT211,kPa,PT211__Exh_Gas_over_demister,PT211,PT211,PT211,,,,,,,,,,
